fdc_id,name,data_type,protein,fat,carbs,kcal,alcohol,caffeine,fiber,sodium,sugar_added,cholesterol,fat_trans,fat_sat,fat_mono,fat_poly,sugar,density
167512,"Pillsbury Golden Layer Buttermilk Biscuits, Artificial Flavor, refrigerated dough",sr_legacy_food,5.88,13.24,41.18,307.0,,,1.2,1059.0,,0.0,4.412,2.941,,,5.88,
167513,"Pillsbury, Cinnamon Rolls with Icing, refrigerated dough",sr_legacy_food,4.34,11.27,53.42,330.0,,,1.4,780.0,,0.0,4.29,3.25,,,21.34,
167514,"Kraft Foods, Shake N Bake Original Recipe, Coating for Pork, dry",sr_legacy_food,6.1,3.7,79.8,377.0,,,,2182.0,,,,,,,,
167515,"George Weston Bakeries, Thomas English Muffins",sr_legacy_food,8.0,1.8,46.0,232.0,,,,345.0,,,0.082,0.308,0.303,0.92,,
167516,"Waffles, buttermilk, frozen, ready-to-heat",sr_legacy_food,6.58,9.22,41.05,273.0,0.0,0.0,2.2,621.0,,15.0,,1.898,4.53,1.445,4.3,
167517,"Waffle, buttermilk, frozen, ready-to-heat, toasted",sr_legacy_food,7.42,9.49,48.39,309.0,0.0,0.0,2.6,710.0,,13.0,,2.275,5.292,1.502,4.41,
167518,"Waffle, buttermilk, frozen, ready-to-heat, microwaved",sr_legacy_food,6.92,9.4,44.16,289.0,,,2.4,663.0,,16.0,,2.057,4.864,1.615,4.5,
167519,"Waffle, plain, frozen, ready-to-heat, microwave",sr_legacy_food,6.71,9.91,45.41,298.0,,,2.4,682.0,,16.0,,1.58,5.195,2.24,5.04,
167520,"Pie Crust, Cookie-type, Graham Cracker, Ready Crust",sr_legacy_food,5.1,24.83,64.3,501.0,0.0,0.0,1.9,471.0,,0.0,,4.999,16.928,1.671,18.13,
167521,"Pie Crust, Cookie-type, Chocolate, Ready Crust",sr_legacy_food,6.08,22.42,64.48,484.0,0.0,8.0,2.7,503.0,,0.0,0.0,4.725,14.482,2.035,26.31,
167522,"Pie, Dutch Apple, Commercially Prepared",sr_legacy_food,2.17,11.5,44.54,290.0,0.0,0.0,1.6,200.0,,0.0,,2.313,5.797,2.117,22.02,
167523,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",sr_legacy_food,5.52,28.74,46.79,468.0,,,1.4,353.0,,,,8.129,14.489,3.53,,
167524,"Waffles, chocolate chip, frozen, ready-to-heat",sr_legacy_food,5.8,10.1,45.68,297.0,0.0,10.0,1.5,529.0,,21.0,0.2,3.567,2.564,3.272,13.1,
167525,"Tostada shells, corn",sr_legacy_food,6.15,23.38,64.43,474.0,,,5.8,657.0,,,0.163,7.011,7.217,8.285,,
167526,"Bread, salvadoran sweet cheese (quesadilla salvadorena)",sr_legacy_food,7.12,17.12,47.84,374.0,0.0,0.0,0.7,510.0,,59.0,2.027,4.612,6.794,4.428,24.9,
167527,"Bread, pound cake type, pan de torta salvadoran",sr_legacy_food,7.06,17.45,51.29,390.0,,,1.7,390.0,,,0.16,3.042,4.411,9.424,18.1,
167528,"Pastry, Pastelitos de Guava (guava pastries)",sr_legacy_food,5.48,18.5,47.76,379.0,,,2.2,231.0,,10.0,2.853,5.535,8.543,2.835,17.0,
167529,"Crackers, snack, Goya Crackers",sr_legacy_food,14.25,13.35,64.35,433.0,,,3.8,665.0,,,0.063,6.323,4.697,1.536,2.35,
167530,"Crackers, cream, Gamesa Sabrosas",sr_legacy_food,7.01,20.37,64.55,484.0,,,2.4,1148.0,,,3.969,5.362,10.625,2.45,9.37,
167531,"Crackers, cream, La Moderna Rikis Cream Crackers",sr_legacy_food,7.19,19.5,64.88,464.0,,,2.4,752.0,,,2.905,2.634,14.468,1.265,10.41,
167532,"Bread, white wheat",sr_legacy_food,10.66,2.15,43.91,238.0,0.0,0.0,9.2,478.0,,0.0,0.031,0.63,0.393,0.973,5.0,
167533,"Bagels, wheat",sr_legacy_food,10.2,1.53,48.89,250.0,0.0,0.0,4.1,439.0,,0.0,0.0,0.0,0.29,0.936,6.12,
167534,"Cream puff, eclair, custard or cream filled, iced",sr_legacy_food,4.41,18.52,37.43,334.0,0.0,0.0,0.9,265.0,,66.0,0.0,7.055,6.07,4.173,22.05,
167535,"Tortillas, ready-to-bake or -fry, flour, shelf stable",sr_legacy_food,8.01,7.58,49.27,297.0,0.0,0.0,2.4,742.0,,0.0,0.014,1.225,3.801,2.152,2.66,
167536,"Snacks, beef jerky, chopped and formed",sr_legacy_food,33.2,25.6,11.0,410.0,0.0,0.0,1.8,1785.0,,48.0,,10.85,11.305,1.011,9.0,
167537,"Snacks, corn-based, extruded, chips, plain",sr_legacy_food,6.17,33.36,57.27,539.0,0.0,0.0,4.0,514.0,,0.0,0.088,4.331,9.134,16.438,0.27,
167538,"Snacks, corn-based, extruded, chips, barbecue-flavor",sr_legacy_food,7.0,32.7,56.2,523.0,,,5.2,763.0,,0.0,,4.46,9.48,16.17,,
167539,"Snacks, corn-based, extruded, cones, plain",sr_legacy_food,5.8,26.9,62.9,510.0,,,1.1,1022.0,,0.0,,22.75,1.7,0.78,,
167540,"Snacks, fruit leather, pieces",sr_legacy_food,1.0,2.68,82.82,359.0,0.0,0.0,0.0,199.0,,0.0,,0.65,1.48,0.55,57.58,
167541,"Snacks, fruit leather, rolls",sr_legacy_food,0.1,3.0,85.8,371.0,0.0,0.0,0.0,317.0,,0.0,,0.672,1.48,0.552,49.16,
167542,"Snacks, granola bars, hard, plain",sr_legacy_food,10.1,19.8,64.4,471.0,0.0,0.0,5.3,294.0,,0.0,,2.37,4.38,12.05,28.57,
167543,"Snacks, granola bars, hard, almond",sr_legacy_food,7.7,25.5,62.0,495.0,,,4.8,256.0,,0.0,,12.51,7.74,3.76,,
167544,"Snacks, granola bars, soft, uncoated, raisin",sr_legacy_food,7.6,17.8,66.4,448.0,,,4.2,282.0,,0.0,,9.57,2.84,3.21,,
167545,"Snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",sr_legacy_food,5.8,24.9,63.8,466.0,,,3.4,200.0,,5.0,,14.22,7.77,1.82,,
167546,"Candies, honey-combed, with peanut butter",sr_legacy_food,8.72,20.18,67.41,473.0,0.0,0.0,1.9,174.0,,0.0,0.029,5.735,8.496,4.794,62.68,
167547,"Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",sr_legacy_food,10.2,31.1,53.4,508.0,0.0,6.0,2.8,193.0,,12.0,,17.01,6.54,1.9,23.74,
167548,"Snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",sr_legacy_food,9.8,20.0,62.2,432.0,,,4.2,328.0,,1.0,,5.59,8.36,4.61,,
167549,"Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",sr_legacy_food,7.29,43.55,45.06,583.0,0.0,0.0,8.1,909.0,,0.0,,6.82,9.809,23.191,0.46,0.046494281215034135
